mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.496352338790894,0.2596613175155109,0.20886025428771973,0.0028253845259903223,30,200,"{'max_depth': 30, 'n_estimators': 200}",-0.49325117032869503,-0.5148745306198166,-0.5039658892694475,-0.4753248028910215,-0.48413954099292544,-0.4943117897199069,0.014008038999916044,21
8.689931774139405,0.43184562498877843,0.20827822685241698,0.00196421275911788,30,300,"{'max_depth': 30, 'n_estimators': 300}",-0.49165075181846685,-0.5141290951736274,-0.5020989301193975,-0.47550112315957005,-0.48357926035281396,-0.493392404944508,0.01360322198604631,17
11.031967067718506,0.22382846896876532,0.31010093688964846,0.0032442143217221915,30,400,"{'max_depth': 30, 'n_estimators': 400}",-0.4897981316827899,-0.5130976819722269,-0.502224935519251,-0.47506452343381333,-0.4821493716549798,-0.49246750201727557,0.013691320539575986,13
13.668530416488647,0.3166061451197755,0.3918729305267334,0.041857389142478024,30,500,"{'max_depth': 30, 'n_estimators': 500}",-0.48936978666388375,-0.5133891163304133,-0.5013378908201186,-0.4741890129978493,-0.4818060158918914,-0.49201894435805094,0.013948132398707095,8
18.713388538360597,1.1088688871781458,0.42865471839904784,0.0397326714596553,30,600,"{'max_depth': 30, 'n_estimators': 600}",-0.48891071555403454,-0.5130395665822292,-0.5012007540484388,-0.47392240103020333,-0.4817464988738563,-0.49176456325882784,0.013917708439550033,1
20.59871463775635,1.3613659252005554,0.5131779670715332,0.0019167221566832287,30,700,"{'max_depth': 30, 'n_estimators': 700}",-0.48927889539008224,-0.5129764921412882,-0.5012857564369582,-0.47391136178078797,-0.4815954327263464,-0.4918101689737743,0.013920572084382937,2
6.5084961414337155,0.6743743969843997,0.20885467529296875,0.001258182032280071,40,200,"{'max_depth': 40, 'n_estimators': 200}",-0.493227030169428,-0.5158322262409862,-0.5049165606438857,-0.47563111458014024,-0.48388531279138336,-0.4946990667225693,0.014378398008601807,24
9.873224210739135,0.4467831983182642,0.24978213310241698,0.048029455337219855,40,300,"{'max_depth': 40, 'n_estimators': 300}",-0.49218046830318335,-0.5146130529263764,-0.502712616730778,-0.4759590097879053,-0.48328194002980496,-0.4937500018428807,0.013741568400419658,20
11.906190443038941,0.41092686785920784,0.3502533435821533,0.0497490024221849,40,400,"{'max_depth': 40, 'n_estimators': 400}",-0.49007920416907197,-0.5135698635281136,-0.5026740982041649,-0.47552457433403933,-0.48178311338652313,-0.4927267526703687,0.01382800932382596,16
14.703517818450928,0.9417742046116633,0.4311079502105713,0.07459412047788302,40,500,"{'max_depth': 40, 'n_estimators': 500}",-0.48938762048943635,-0.5137455080370765,-0.5018225836060429,-0.4746067666829544,-0.4814357040188075,-0.49220022289944076,0.014071967895448217,12
16.887667417526245,0.747144902880693,0.41428542137145996,0.007359181489764023,40,600,"{'max_depth': 40, 'n_estimators': 600}",-0.4889583969096412,-0.5133745265750713,-0.5017930935448544,-0.47430415756090577,-0.4815130147630917,-0.49198922013615165,0.014036684297330983,5
19.295977878570557,0.08966303727514129,0.514454984664917,0.0024429891835855496,40,700,"{'max_depth': 40, 'n_estimators': 700}",-0.48917335007991103,-0.513470717193023,-0.5020542964683243,-0.474145776166367,-0.48138047809954937,-0.4920455142098119,0.014153476786862875,9
5.525874233245849,0.11847760817900087,0.20980515480041503,0.0026229606109036065,50,200,"{'max_depth': 50, 'n_estimators': 200}",-0.4930108266562398,-0.5159681758221886,-0.5048275749060536,-0.4756688338713301,-0.48381663571835837,-0.49465902621656144,0.01441092739726027,22
8.508846187591553,0.34067285410896986,0.22761797904968262,0.039392394910193036,50,300,"{'max_depth': 50, 'n_estimators': 300}",-0.49197191571200577,-0.5147361026442904,-0.5026933631542402,-0.47586411262738143,-0.48312462887978797,-0.4936786111533354,0.013829928657112842,18
12.091058492660522,0.5308869154855956,0.3091733455657959,0.0031012643405787695,50,400,"{'max_depth': 50, 'n_estimators': 400}",-0.48999820157889423,-0.513679407383159,-0.5026614566425702,-0.47543930107695226,-0.48162063897557394,-0.49268038628252087,0.013909309279830626,14
14.497603797912598,0.45993725175065936,0.4117745876312256,0.0022665071956869402,50,500,"{'max_depth': 50, 'n_estimators': 500}",-0.4893281609485667,-0.513847799069801,-0.5018155841613267,-0.47446985762318455,-0.48135568084971764,-0.4921640058507556,0.014151195009753285,10
17.13811240196228,0.5709257868248551,0.4319258213043213,0.03797046776144574,50,600,"{'max_depth': 50, 'n_estimators': 600}",-0.4889208771077481,-0.5134559488502345,-0.5017750624690629,-0.4741665977841103,-0.4814737921875175,-0.49195904035234367,0.014101136567664041,3
19.958632230758667,0.7333395756152511,0.5136358261108398,0.0021932729327502534,50,700,"{'max_depth': 50, 'n_estimators': 700}",-0.48915792360040034,-0.5135484307906044,-0.5020187346870102,-0.4740166783706037,-0.48134246550145937,-0.49201743949263343,0.014211018758893043,6
5.504309415817261,0.09438328892557414,0.2111107349395752,0.00122852916764967,60,200,"{'max_depth': 60, 'n_estimators': 200}",-0.4930108266562398,-0.5159681758221886,-0.5048275749060536,-0.4756688338713301,-0.48381663571835837,-0.49465902621656144,0.01441092739726027,22
8.636477136611939,0.3201332630793236,0.2281121253967285,0.041436267745903824,60,300,"{'max_depth': 60, 'n_estimators': 300}",-0.49197191571200577,-0.5147361026442904,-0.5026933631542402,-0.47586411262738143,-0.48312462887978797,-0.4936786111533354,0.013829928657112842,18
