mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.9587091445922855,0.891946850044245,0.18652739524841308,0.040136026934856135,30,200,"{'max_depth': 30, 'n_estimators': 200}",-4.021438861740942,-3.957653251572251,-3.9815276673222137,-3.751879831461862,-3.691118270437163,-3.8807301610663862,0.13298837367090383,24
7.924407005310059,0.11890484833274365,0.20924139022827148,0.0025891331837014707,30,300,"{'max_depth': 30, 'n_estimators': 300}",-4.018407596773059,-3.954504509745166,-3.984219626347885,-3.7455896831723337,-3.6738613552561263,-3.8753234020985863,0.13857629739965363,20
10.757492446899414,0.2390547528131049,0.3109261512756348,0.0037583196984733625,30,400,"{'max_depth': 30, 'n_estimators': 400}",-4.0216412798403365,-3.9508055764274945,-3.9857188380550466,-3.736461820972789,-3.6698020488625938,-3.872892932825363,0.14197427261376727,16
13.289402294158936,0.13037443233155002,0.33092451095581055,0.040123885766100056,30,500,"{'max_depth': 30, 'n_estimators': 500}",-4.016982285990428,-3.9513826900107047,-3.9832155473107105,-3.7320156840992573,-3.6640224855786943,-3.8695308309889915,0.14318371877308522,10
16.798905515670775,1.5048321814049892,0.4132411956787109,0.0024838284050543637,30,600,"{'max_depth': 30, 'n_estimators': 600}",-4.0190650850157095,-3.9515700203155366,-3.98517452585544,-3.7335116664834436,-3.6616354963452165,-3.870198497226136,0.14434802920827733,12
19.452973222732545,0.3242660325428413,0.5139646530151367,0.0020882238994217525,30,700,"{'max_depth': 30, 'n_estimators': 700}",-4.018354733484384,-3.9492745520031307,-3.985739982207939,-3.7322386107032264,-3.664271090716042,-3.8699828951583917,0.1435199145907269,11
5.58950138092041,0.16978171828212918,0.20675082206726075,0.0022341452501328097,40,200,"{'max_depth': 40, 'n_estimators': 200}",-4.024336521840921,-3.9531641580185384,-3.9841473334787088,-3.746241952843024,-3.69016865200363,-3.87961839842642,0.13487572553037477,21
8.30984354019165,0.06375406387811344,0.20620203018188477,0.002132168488503804,40,300,"{'max_depth': 40, 'n_estimators': 300}",-4.021093667280062,-3.94754095090135,-3.9830082272063434,-3.7394605978939848,-3.673488733005391,-3.8729253183610304,0.13944565197945652,17
11.214155960083009,0.21766477485605878,0.32976016998291013,0.0401342959636186,40,400,"{'max_depth': 40, 'n_estimators': 400}",-4.023531472600104,-3.9462003967722263,-3.985324880240111,-3.7301206924093213,-3.6704773045275236,-3.871138013881983,0.1428603336606299,13
14.727728033065796,0.43312653647323385,0.39252462387084963,0.040897365626909696,40,500,"{'max_depth': 40, 'n_estimators': 500}",-4.0181741109438045,-3.947931143477506,-3.984418846756673,-3.7266585493156943,-3.666247949058665,-3.868693242416133,0.14364643065150703,1
16.95000123977661,0.44704829545584146,0.4313148021697998,0.0384687962204077,40,600,"{'max_depth': 40, 'n_estimators': 600}",-4.019464130844065,-3.9463953085436825,-3.986727897955282,-3.7289623379896275,-3.6640931542598585,-3.869135703640307,0.14428066586302288,7
19.306079816818237,0.13550392476656314,0.5153643131256104,0.003671779975680454,40,700,"{'max_depth': 40, 'n_estimators': 700}",-4.017097548526266,-3.9454104110497457,-3.9861009734253225,-3.7283509991404964,-3.6671672602759937,-3.868832512747311,0.14282891184048468,2
5.62141489982605,0.2786356390376696,0.2103273868560791,0.0013816786957656613,50,200,"{'max_depth': 50, 'n_estimators': 200}",-4.024651320455509,-3.953044922069461,-3.983900064308896,-3.7465692873383,-3.6907241702031475,-3.8797846162840366,0.13467134594226365,22
8.309881353378296,0.10963834738340451,0.2066831111907959,0.0021181425086198116,50,300,"{'max_depth': 50, 'n_estimators': 300}",-4.022199348168223,-3.9476518837687347,-3.9827818462614166,-3.7396938436885487,-3.6734230745339995,-3.8731568884986736,0.139631541407009,18
11.042728710174561,0.09321999121922922,0.31090712547302246,0.004108773407890209,50,400,"{'max_depth': 50, 'n_estimators': 400}",-4.0242137156837,-3.9468522492287366,-3.985342426364557,-3.7302968220575754,-3.670430218902523,-3.8714341605977385,0.143055864380492,14
13.797075414657593,0.36440636442356966,0.3906198024749756,0.04114227435290004,50,500,"{'max_depth': 50, 'n_estimators': 500}",-4.018748642987588,-3.9485822772921395,-3.9845021310172717,-3.726891886659714,-3.6664324306852585,-3.8690386018765675,0.14375326686355405,5
16.86053671836853,0.7364366982188174,0.43147621154785154,0.039807645808342444,50,600,"{'max_depth': 50, 'n_estimators': 600}",-4.019987393331919,-3.9468619875669755,-3.9869040935048425,-3.7291552703001085,-3.6641716661844157,-3.8694232261767394,0.14440866263364796,8
19.992656469345093,0.5696055217070644,0.514734935760498,0.003144098084537984,50,700,"{'max_depth': 50, 'n_estimators': 700}",-4.017344580861594,-3.9457734159091102,-3.986112673390813,-3.7285775349292893,-3.6671507288376213,-3.8689988635863353,0.14288122184023752,4
5.676481866836548,0.08041549473520312,0.21119446754455568,0.0012335235958365078,60,200,"{'max_depth': 60, 'n_estimators': 200}",-4.024651320455509,-3.953044922069461,-3.983900064308896,-3.7465692873383,-3.6907241702031475,-3.8797846162840366,0.13467134594226365,22
8.489187955856323,0.06825930998032712,0.20826320648193358,0.0020719570008693716,60,300,"{'max_depth': 60, 'n_estimators': 300}",-4.022199348168222,-3.9476518837687355,-3.9827818462614166,-3.7396938436885487,-3.6734230745339995,-3.8731568884986736,0.1396315414070089,18
